amfi_code,CAGR_1Y,CAGR_3Y,CAGR_5Y
119094,22.277897154308548,35.10252788903541,28.214417193652032
148567,20.37595706234765,33.991970400445304,30.974107501859027
120504,13.073788394478303,32.478927222623,23.29511862010305
100033,53.277195495404996,32.43397122906222,30.12315310072722
120505,29.627681171526877,31.769242852237323,32.82740607461121
119551,60.489297118400344,30.448613060027817,25.804686425584002
120843,26.677583918827153,29.57511058901836,30.907454754005492
148569,39.78380253854239,29.17135767741186,31.94952310833252
101206,47.96379447633372,28.960211096593724,23.53836133468803
149324,65.19546577826334,26.99350260734621,32.287440451573616
149323,21.497414349538225,26.863103668817146,29.581086910433996
119598,82.85157468100046,26.66309129954312,32.423536152454616
102887,13.59304393755194,25.549670172502026,16.84112024730753
118632,34.007895823651204,22.646647456747715,24.049492662391756
118633,25.559539940517382,21.084691029380597,16.274217354504273
119093,19.781538524100494,20.8115598266319,7.897557854375958
118635,22.510248103762276,20.00321571698329,15.957231179671737
102885,20.222858595384665,19.662361245910965,18.23237888770595
125497,28.6975804558778,18.429918008610045,19.017795344711462
120506,41.85299002066023,18.417429266835228,17.08486725575018
149322,18.12461925339035,18.03973982038829,13.393275924001857
120841,16.849551529398422,17.263014444437943,13.53221114899239
119552,5.7101178520777784,16.263375081360643,21.524235873769705
148568,14.279834500870736,14.744434832760533,22.516869007113847
120503,8.495135972254552,13.974980348212673,18.785325598262204
125498,15.455077019290385,11.242518737374208,11.301817123279978
118634,15.822866445588701,8.0060298597036,16.373474033415757
120842,22.518986942465922,7.75416750547262,6.701543482038463
120507,7.430320855847317,7.392538786263403,7.237539728384412
120844,7.125369741102916,6.694394239074852,6.915272985067156
101208,7.241777200393584,6.314299292105274,6.509026855465327
119120,5.525880326360788,5.838988442093762,5.889418716346717
118636,10.462462788080341,4.061259859840338,5.316889625171273
100025,3.7075527018896492,3.9154793546847033,4.458209619173137
100016,-2.2257773892688015,1.2923525892154508,2.637074367211101
119092,1.61022963455828,0.5257668501786883,6.367989237605243
102886,-16.807959958672036,-0.7672319440258146,1.1717454918341197
119599,13.957994357447735,-1.337083602283895,2.054484701809378
101207,-24.000309180292632,-4.151453816140693,7.938764837247714
119095,-42.81949516662213,-11.703299329834216,1.5215045330823962
